ID,Eosinophils,Neutrophils,pDC,Ly6C+ Monocyte,Ly6C- Monocyte,DC,CD103+ DC,CD64+ DC,Tim4+MerTK+,Tim4-MerTK+,F480- CD206+ MF,F480+ CD206+ MF,F480+ CD206- MF,F480- CD206- MF,CD206- CD301b+ MF,CD206+ CD301b+ MF,CD206+ CD301b- MF,CD206- CD301b- MF,PDL2- CD301b+ MF, PDL2+ CD301b+ MF,PDL2+ CD301b- MF,PDL2- CD301b- MF,TCRab T cells ,Total CD4 T cells ,Activated T cell,CD4 CD44- CD62L+ T cells,CD4 CD44+ CD62L+ T cells,CD4 CD44+ CD62L- T cells,CD4 CD44- CD62L- T cells,Total CD8 T cells ,CD8 CD44- CD62L+ T cells,CD8 CD44+ CD62L+ T cells,CD8 CD44+ CD62L- T cells,CD8 CD44- CD62L- T cells,B cells,Non_T_B_cells,Total_ILC,ILC2,ILC3,NK cells,NKT cells,TCRg T cells,Genotype,Groups
PN07_W24,0.925,24,0,2.59,33.4,0.0961,0.012,0.024,0,0,4.77,0.0721,0.036,3.48,0,0.012,4.67,3.68,0.012,0,0.204,8.14,9.97,0.0961,0.012,0,0,0,0.0961,6.62,0.024,0,0,6.59,0.372,12.5,0,0,0,0.108,0,5.81,NOD2KO,Progression
PN08_W24,0.0561,20.4,0,1.4,22.1,0.0842,0,0.0281,0,0,1.57,0.0842,0.309,5.42,0,0,1.4,5.98,0,0,0.225,7.16,8,0,0,0,0,0,0,4.66,0,0,0,4.66,0.393,25.4,0.0281,0,0,0,0,0.674,NOD2KO,Progression
PN09_W24,0.255,13.4,0,0.832,13.9,0.00946,0,0,0,0,0.936,0.0284,0.0189,1.27,0,0.00946,0.936,1.31,0.0189,0,0.0284,2.2,8.27,0,0,0,0,0,0,2.08,0,0,0,2.08,0.454,54.8,0.0284,0,0,0,0,1.49,NOD2KO,Progression
PN11_W24,0.251,23.2,0,0.778,19.7,0.1,0.0251,0,0.0251,0,1.68,0.0753,0.125,5.55,0,0,1.56,5.87,0,0,0.301,7.13,12.6,0.0502,0,0,0,0,0.0502,6.52,0.1,0,0,6.42,0.452,25.7,0,0,0,0.0502,0,0.828,NOD2KO,Progression
PN12_W24,0.42,31.5,0,1.83,34.9,0.105,0,0,0,0,3.32,0.09,0.105,5.25,0,0,3.33,5.43,0,0,0.39,8.37,5.87,0.045,0,0,0,0.015,0.03,4.04,0.03,0,0,4.01,0.255,8.58,0,0,0,0.075,0,3.77,NOD2KO,Progression
HN07_W24,0.594,26.3,0,2.41,13.3,0.0349,0,0,0,0,2.06,0,0,1.54,0,0,1.64,1.96,0,0,0,3.6,8.94,1.01,0,0,0,0,1.01,0,0,0,0,0,0.0349,19.5,0.0349,0.0349,0,0.0349,0,2.1,NOD2KO,Re_H.poly
HN09_W24,1.75,27.7,0,0.897,14,0.163,0.035,0.0233,0,0.0117,2.33,0.0466,0.0233,1.79,0,0.0233,1.71,2.46,0.0233,0,0,4.17,9.7,0.886,0,0.0233,0,0.0466,0.816,0,0,0,0,0,0.0583,24.9,0.0117,0.0117,0,0.105,0,4.23,NOD2KO,Re_H.poly
HN10_W24,3.73,27.3,0,2.57,13.8,0.0778,0,0,0,0,1.4,0,0,1.32,0,0,1.01,1.71,0,0,0,2.72,7.08,0.622,0,0,0,0,0.622,0,0,0,0,0,0,19.4,0,0,0,0.311,0,2.26,NOD2KO,Re_H.poly
HN11_W24,1.1,16.8,0,1.89,16.8,0.044,0,0,0,0,1.1,0.044,0.044,0.968,0,0,0.924,1.23,0,0,0.044,2.11,8.45,0.836,0,0.088,0,0,0.748,0,0,0,0,0,0.044,30.7,0,0,0,0.264,0.044,2.38,NOD2KO,Re_H.poly
HN12_W24,0.119,1.6,0,0.201,1.14,0,0,0,0,0,0.151,0.00456,0.00912,0.306,0,0,0.114,0.356,0,0,0,0.47,9.3,0.972,0.00456,0,0.00456,0.0319,0.935,0,0,0,0,0,0.00912,84,0,0,0,0.0137,0,0.333,NOD2KO,Re_H.poly
HN14_W24,0.323,21.4,0,2.03,5.52,0.0323,0,0,0,0,0.774,0,0,1.65,0,0,0.452,1.97,0,0,0,2.42,6.84,0.258,0,0,0,0.0323,0.226,0,0,0,0,0,0.387,48.2,0,0,0,0.194,0.0323,0.839,NOD2KO,Re_H.poly
PW01_W24,0.149,30.8,0,1.59,21.7,0.0637,0,0,0,0,4.95,0.106,0.127,3.99,0,0.0212,4.86,4.29,0.0212,0,0.085,9.07,5.56,0,0,0,0,0,0,2.93,0.0212,0,0,2.91,0.489,20.5,0,0,0,0.0425,0.0212,0.85,WT,Progression
PW02_W24,0.229,16.7,0,3.92,8.92,0.0305,0.00762,0,0,0,8.22,0.0229,0,2.37,0,0.00762,8.04,2.56,0.0152,0,0.0762,10.5,9.63,0.0229,0,0,0,0,0.0229,4.5,0.0686,0,0,4.43,0.655,44.4,0.00762,0,0,0.13,0.0152,0.442,WT,Progression
PW03_W24,2.27,24.8,0,2.57,27.2,0.114,0,0.0114,0,0,4.31,0.0912,0.148,4.36,0,0.0114,4.21,4.69,0.0228,0,0.148,8.73,9.05,0.057,0,0,0,0,0.057,5.67,0.0684,0,0,5.6,0.342,16.3,0.0114,0,0,0.194,0,1.77,WT,Progression
PW05_W24,0.162,24.9,0,2.37,14.5,0.054,0,0,0,0,5.53,0.027,0.027,2.16,0,0,5.42,2.32,0.027,0,0.135,7.58,13,0.054,0.027,0.027,0,0,0.027,8.39,0.189,0,0,8.2,0.566,27.5,0,0,0,0.351,0.027,0.405,WT,Progression
PW06_W24,0.263,32.9,0,4.16,15.8,0.0263,0,0,0,0,20.2,0.0132,0.184,3.32,0,0.0526,19.8,3.8,0.118,0,0.237,23.3,5.15,0.0395,0,0,0,0,0.0395,3.01,0.0658,0,0,2.95,0.329,12.6,0,0,0,0.0921,0.0263,0.408,WT,Progression
HW01_W24,2.61,25.2,0,1.77,8.25,0,0,0,0,0,0.611,0,0,1.7,0,0.034,0.407,1.87,0.034,0,0,2.28,5.81,0.815,0,0,0,0.0679,0.747,0.034,0,0,0,0.034,0.136,30.4,0,0,0,0.306,0,1.36,WT,Re_H.poly
HW02_W24,1.03,21.9,0,0.901,7.97,0,0,0,0,0,0.467,0,0.0334,2.07,0,0,0.234,2.34,0,0,0,2.57,9.74,1.23,0,0,0,0.0334,1.2,0,0,0,0,0,0.0334,35.9,0,0,0,0.0667,0.0334,0.968,WT,Re_H.poly
HW05_W24,0.937,23.2,0,2.81,11.7,0.104,0,0,0,0,0.728,0,0,1.35,0,0.052,0.104,1.93,0.052,0,0,2.03,10.4,1.25,0,0,0,0.052,1.2,0.052,0,0,0.052,0,0.208,21.4,0,0,0,0.104,0.156,1.25,WT,Re_H.poly
HW06_W24,0.839,15.1,0,0.434,9.93,0,0,0,0,0,0.347,0,0,1.77,0,0,0.203,1.91,0,0,0,2.11,6.71,0.666,0,0,0,0.116,0.55,0,0,0,0,0,0.0289,40.6,0,0,0,0.0868,0,1.19,WT,Re_H.poly
HW13_W24,0.226,50.8,0,4.92,4.3,0,0,0,0,0,1.47,0,0,1.19,0,0.0565,0.509,2.09,0.0565,0,0,2.6,4.52,0.17,0,0,0,0,0.17,0,0,0,0,0,0.226,20.1,0,0,0,0.226,0,0.791,WT,Re_H.poly
